RowID,Citation,URL_Kind,URL,HTTP_Code,Final_URL,Content_Type,Size_Bytes,Text_Chars,Verdict,Notes
CORE-10,Locke & Latham — goal-setting theory,readable,https://home.ubalt.edu/tmitch/642/Articles%20syllabus/Locke%20Latham%202002%20building%20theory%20goal%20setting%20Am%20Psych.pdf,404,https://home.ubalt.edu/tmitch/642/Articles%20syllabus/Locke%20Latham%202002%20building%20theory%20goal%20setting%20Am%20Psych.pdf,text/html,1245,0,BAD_DEAD,HTTP 404
CORE-10,Locke & Latham — goal-setting theory,landing,https://psycnet.apa.org/record/2002-10108-003,200,https://psycnet.apa.org/record/2002-10108-003,text/html,1028,76,BAD_STUB,"HTML stub, only 76 chars; markers: []"
CORE-11,Ordonez et al. — Goals Gone Wild,readable,https://www.hbs.edu/ris/Publication%20Files/09-083.pdf,200,https://www.hbs.edu/ris/Publication%20Files/09-083.pdf,application/pdf;charset=utf-8,184565,3308,OK_READABLE,"PDF 28p, text layer OK (3308 chars in first 4p)"
CORE-11,Ordonez et al. — Goals Gone Wild,landing,https://www.jstor.org/stable/27747490,200,https://www.jstor.org/stable/27747490,text/html; charset=utf-8,3038,190,BAD_STUB,"HTML stub, only 190 chars; markers: []"
CORE-12,Ferster & Skinner — Schedules of Reinforcement,readable,https://archive.org/details/schedulesofreinf0000fers,200,https://archive.org/details/schedulesofreinf0000fers,text/html; charset=UTF-8,50688,6218,OK_LANDING,HTML 6218 chars; markers: ['log in']
CORE-12,Ferster & Skinner — Schedules of Reinforcement,landing,https://www.worldcat.org/title/191941,403,https://www.worldcat.org/title/191941,text/html; charset=UTF-8,3290,0,BAD_BLOCKED,HTTP 403
CORE-13,Staddon & Cerutti — operant conditioning review,readable,https://pmc.ncbi.nlm.nih.gov/articles/PMC1473025/,200,https://pmc.ncbi.nlm.nih.gov/articles/PMC1473025/,text/html; charset=utf-8,8039,143,BAD_STUB,"HTML stub, only 143 chars; markers: ['captcha']"
CORE-13,Staddon & Cerutti — operant conditioning review,landing,https://scholars.duke.edu/publication/915302,200,https://scholars.duke.edu/publication/915302,text/html; charset=utf-8,61011,3437,OK_LANDING,HTML 3437 chars; markers: ['subscribe']
CORE-14,Clark & Chalmers — The Extended Mind,readable,https://consc.net/papers/extended.html,200,https://consc.net/papers/extended.html,text/html,16642,33493,OK_HTML,HTML 33493 chars
CORE-14,Clark & Chalmers — The Extended Mind,landing,https://doi.org/10.1093/019823682X.003.0002,404,https://doi.org/10.1093/019823682X.003.0002,text/html;charset=utf-8,3181,0,BAD_DEAD,HTTP 404
